time_difference,公告日期,证券代码,证券简称,违规年度
3.0,2022,300297,*ST 蓝盾,2019.0
1.0,2020,300055,万邦达,2019.0
1.0,2017,555,神州信息,2016.0
2.0,2023,300301,*ST 长方,2021.0
1.0,2021,300716,国立科技,2020.0
0.0,2017,555,神州信息,2017.0
6.0,2023,300310,宜通世纪,2017.0
5.0,2022,300083,创世纪,2017.0
1.0,2017,557,西部创业,2016.0
2.0,2020,300312,邦讯技术,2018.0
4.0,2022,300083,创世纪,2018.0
3.0,2021,558,莱茵体育,2018.0
2.0,2021,558,莱茵体育,2019.0
4.0,2022,300312,*ST 邦讯,2018.0
2.0,2022,600070,浙江富润,2020.0
1.0,2021,558,莱茵体育,2020.0
3.0,2022,300312,*ST 邦讯,2019.0
1.0,2022,600070,浙江富润,2021.0
5.0,2022,564,ST 大集,2017.0
1.0,2019,300324,旋极信息,2018.0
3.0,2020,2568,百润股份,2017.0
4.0,2022,564,ST 大集,2018.0
1.0,2022,300325,德威退,2021.0
3.0,2022,564,ST 大集,2019.0
6.0,2023,300330,计通退,2017.0
1.0,2020,2517,恺英网络,2019.0
2.0,2022,564,ST 大集,2020.0
2.0,2019,300343,联创股份,2017.0
1.0,2022,564,ST 大集,2021.0
1.0,2019,300343,联创股份,2018.0
1.0,2018,300275,梅安森,2017.0
1.0,2017,566,海南海药,2016.0
3.0,2018,300345,红宇新材,2015.0
4.0,2022,300089,ST 文化,2018.0
0.0,2017,566,海南海药,2017.0
3.0,2020,300356,光一科技,2017.0
1.0,2021,300703,创源股份,2020.0
3.0,2020,571,*ST 大洲,2017.0
2.0,2020,300356,光一科技,2018.0
0.0,2021,300703,创源股份,2021.0
2.0,2020,571,*ST 大洲,2018.0
2.0,2022,300356,*ST 光一,2020.0
1.0,2021,572,海马汽车,2020.0
1.0,2017,300358,楚天科技,2016.0
9.0,2023,573,粤宏远A,2014.0
4.0,2020,300359,全通教育,2016.0
1.0,2023,573,粤宏远A,2022.0
3.0,2023,300359,全通教育,2020.0
5.0,2018,922,*ST 佳电,2013.0
5.0,2020,576,广东甘化,2015.0
2.0,2023,300359,全通教育,2021.0
4.0,2018,922,*ST 佳电,2014.0
2.0,2020,576,广东甘化,2018.0
3.0,2022,300362,天翔退,2019.0
3.0,2018,922,*ST 佳电,2015.0
1.0,2020,576,广东甘化,2019.0
2.0,2022,300362,天翔退,2020.0
3.0,2018,600610,中毅达,2015.0
2.0,2017,582,北部湾港,2015.0
3.0,2020,300367,ST 网力,2017.0
2.0,2018,636,风华高科,2016.0
1.0,2017,582,北部湾港,2016.0
2.0,2020,300367,ST 网力,2018.0
0.0,2020,2535,*ST 林重,2020.0
2.0,2020,586,汇源通信,2018.0
2.0,2022,300367,网力退,2020.0
2.0,2022,2076,ST 雪莱,2020.0
1.0,2020,587,*ST 金洲,2019.0
3.0,2023,300368,汇金股份,2020.0
1.0,2020,592,平潭发展,2019.0
2.0,2023,300368,汇金股份,2021.0
3.0,2018,603,盛达矿业,2015.0
4.0,2023,300370,*ST 安控,2019.0
1.0,2021,300050,世纪鼎利,2020.0
1.0,2019,606,顺利办,2018.0
6.0,2017,300372,欣泰电气,2011.0
1.0,2018,2188,*ST 巴士,2017.0
1.0,2022,609,中迪投资,2021.0
5.0,2017,300372,欣泰电气,2012.0
1.0,2022,611,天首退,2021.0
4.0,2017,300372,欣泰电气,2013.0
0.0,2022,613,*ST 东海A,2022.0
3.0,2017,300372,欣泰电气,2014.0
1.0,2022,615,奥园美谷,2021.0
3.0,2022,300376,易事特,2019.0
6.0,2022,616,ST 海投,2016.0
2.0,2017,300387,富邦股份,2015.0
5.0,2022,616,ST 海投,2017.0
2.0,2021,300392,腾信股份,2019.0
3.0,2022,300173,福能东方,2019.0
4.0,2022,616,ST 海投,2018.0
3.0,2021,300410,正业科技,2018.0
2.0,2022,300173,福能东方,2020.0
3.0,2022,616,ST 海投,2019.0
3.0,2022,300424,航新科技,2019.0
2.0,2022,616,ST 海投,2020.0
1.0,2019,300431,暴风集团,2018.0
1.0,2022,616,ST 海投,2021.0
3.0,2021,300449,汉邦高科,2018.0
2.0,2019,488,晨鸣纸业,2017.0
5.0,2023,619,海螺新材,2018.0
2.0,2021,300461,田中精机,2019.0
4.0,2023,619,海螺新材,2019.0
1.0,2021,300461,田中精机,2020.0
3.0,2023,619,海螺新材,2020.0
2.0,2023,300489,光智科技,2021.0
0.0,2022,620,新华联,2022.0
6.0,2022,300495,*ST 美尚,2016.0
3.0,2023,622,恒立实业,2020.0
5.0,2022,300495,*ST 美尚,2017.0
5.0,2020,2411,延安必康,2015.0
2.0,2023,622,恒立实业,2021.0
4.0,2022,300495,*ST 美尚,2018.0
4.0,2020,2411,延安必康,2016.0
1.0,2018,626,远大控股,2017.0
3.0,2022,300495,*ST 美尚,2019.0
3.0,2020,2411,延安必康,2017.0
5.0,2021,636,风华高科,2016.0
2.0,2022,300495,*ST 美尚,2020.0
2.0,2020,2411,延安必康,2018.0
1.0,2021,638,*ST 万方,2020.0
8.0,2023,300495,*ST 美尚,2015.0
1.0,2020,2411,延安必康,2019.0
1.0,2022,651,格力电器,2021.0
7.0,2023,300495,*ST 美尚,2016.0
4.0,2021,300500,启迪设计,2017.0
5.0,2019,652,泰达股份,2014.0
6.0,2023,300495,*ST 美尚,2017.0
